47,37
59,66
50,59
50,53
50,36
47,51
67,57
67,68
69,66
69,68
51,57
51,60
69,67
69,64
67,64
57,60
59,53
67,56
62,59
62,69
59,69
62,64
56,64
59,48
57,45
62,48
62,52
56,57
48,50
37,51
64,52
36,31
50,31
37,32
51,32
56,45
52,56
52,48
48,31
56,42
32,45
51,45
52,39
48,38
52,38
45,42
45,33
52,42
45,27
38,39
42,39
39,26
31,38
33,42
42,23
42,19
32,27
33,19
39,23
38,26
27,33
31,20
23,26
23,14
27,18
19,23
33,18
38,20
20,26
26,14
18,19
26,11
19,14
19,8
14,11
27,21
18,21
18,7
18,8
20,11
31,22
37,21
32,21
14,8
14,4
22,20
11,4
11,2
8,4
8,1
8,7
21,7
22,10
4,2
11,10
20,10
22,36
4,0
4,1
2,0
10,2
0,1
1,7
21,15
37,30
2,5
7,15
1,3
1,6
5,0
5,3
0,3
21,30
15,1
15,6
2,13
10,13
22,13
13,5
3,6
22,29
6,9
5,12
13,29
6,16
29,36
3,9
3,12
13,17
5,17
15,16
30,15
9,16
12,9
12,17
15,28
30,28
17,25
17,35
9,24
16,24
17,29
28,16
12,24
12,25
28,24
24,25
24,34
25,34
25,35
28,43
24,43
35,29
25,41
35,41
34,43
34,46
29,40
34,41
28,44
41,46
41,55
35,49
40,36
30,44
46,43
41,49
35,40
40,49
44,43
46,55
43,54
49,55
46,54
46,61
55,61
54,44
54,61
61,65
61,63
40,53
40,58
30,47
55,65
55,58
49,58
54,63
53,58
65,58
54,60
63,60
47,44
44,60
65,68
61,68
58,66
47,60
63,68
65,66
66,68
36,53
53,66
60,67
63,67
